                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6973,                 6.6618,                      0,                 2.4068,                 2.4871,                0.39858,                0.39831,                0.35751,                0.13366,                0.00421,                0.00424,                0.00012,                  2e-05,                 2.1575,                 7.0187,                      0,                 5.9505,                 2.2257,                0.00024,                0.00024,                0.00024
                      2,                 1.4662,                 4.8144,                      0,                 1.0409,                 1.4083,                0.82074,                0.74576,                0.86192,                0.48523,                0.14027,                0.12712,                 0.0282,                0.00445,                 1.5655,                 6.3014,                      0,                 2.3367,                 1.7486,             0.00049505,             0.00049505,             0.00049505
                      3,                 1.3336,                  3.913,                      0,                0.90766,                 1.2958,                0.66128,                0.51695,                0.54489,                0.23463,                0.20122,                0.11441,                0.07161,                 0.0358,                 2.6469,                 6.2357,                      0,                 2.0535,                 2.8598,             0.00074495,             0.00074495,             0.00074495
                      4,                  1.246,                 3.5709,                      0,                0.85366,                 1.2513,                0.78572,                0.60593,                0.64917,                0.25779,                  0.181,                0.16294,                0.07897,                0.03592,                  2.409,                 6.1334,                      0,                 1.4849,                 2.5286,             0.00098971,             0.00098971,             0.00098971
                      5,                 1.2573,                 3.1389,                      0,                0.84663,                 1.2837,                 0.9404,                 0.8691,                0.95805,                0.63198,                0.42909,                0.41525,                0.26929,                0.11702,                 1.2793,                 4.8496,                      0,                 1.0609,                 1.5265,              0.0012293,              0.0012293,              0.0012293
                      6,                 1.1508,                 3.0013,                      0,                0.76502,                 1.2292,                0.96231,                0.86542,                0.91281,                0.61181,                0.45346,                0.39831,                 0.2261,                0.08699,                 1.2246,                 5.3568,                      0,                0.71733,                   1.48,              0.0014638,              0.0014638,              0.0014638
                      7,                 1.1332,                 2.7135,                      0,                0.73565,                 1.1813,                0.94998,                0.97034,                0.98788,                0.57767,                0.43084,                0.44068,                0.29317,                0.20153,                  1.401,                 4.4622,                      0,                0.80171,                 1.4042,              0.0016931,              0.0016931,              0.0016931
                      8,                 1.3139,                 2.5991,                      0,                0.79742,                 1.2252,                0.95546,                0.91102,                0.95744,                0.43921,                0.42488,                 0.4322,                0.32008,                0.13789,                 1.5168,                 4.4981,                      0,                 1.3887,                 1.6327,              0.0018614,              0.0018614,              0.0018614
                      9,                  1.127,                  2.274,                      0,                0.74571,                 1.1359,                0.98958,                0.99153,                0.99418,                0.59963,                0.48274,                0.46186,                0.33682,                0.22459,                 1.2867,                 4.1688,                      0,                0.94382,                 1.3641,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.1087,                 2.4601,                      0,                0.72593,                 1.1571,                0.84165,                0.93644,                0.95636,                0.61291,                0.38179,                0.46186,                0.30144,                0.18611,                 1.2081,                 4.2955,                      0,                 1.6549,                 1.4455,              0.0018416,              0.0018416,              0.0018416
