                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2768,                 6.2014,                      0,                 1.9224,                 2.0594,                 0.7029,                0.80702,                0.79079,                0.34996,                0.00333,                0.01754,                0.00118,                0.00016,                 1.9147,                  7.099,                      0,                 1.7472,                 2.2885,                0.00046,                0.00046,                0.00046
                      2,                 1.4623,                 4.4428,                      0,                0.95997,                 1.3324,                0.84319,                0.89474,                0.93089,                0.51938,                0.18695,                0.22807,                0.06641,                0.01293,                 1.7431,                 5.5208,                      0,                 1.7145,                 1.9065,             0.00093069,             0.00093069,             0.00093069
                      3,                  1.387,                 3.7086,                      0,                0.94512,                 1.3203,                0.94084,                      1,                  0.995,                0.61673,                0.37911,                0.40351,                0.17643,                0.07554,                  1.314,                 4.5592,                      0,                 1.9366,                 1.6564,              0.0013919,              0.0013919,              0.0013919
                      4,                 1.2301,                 3.1397,                      0,                0.83243,                 1.2175,                0.97075,                0.89474,                0.93978,                0.43315,                 0.2661,                0.24561,                0.09795,                0.04389,                 1.9146,                 5.0795,                      0,                 1.1433,                 2.4613,              0.0018436,              0.0018436,              0.0018436
                      5,                 1.0916,                 2.7094,                      0,                 0.7201,                 1.1548,                0.88769,                0.87719,                0.92629,                0.47544,                0.32769,                0.38596,                0.23758,                0.06188,                 1.6267,                 5.2032,                      0,                 1.1038,                  1.656,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.0657,                  2.536,                      0,                0.69518,                  1.139,                0.95077,                      1,                0.99148,                0.74727,                0.35082,                0.36842,                0.14266,                0.07711,                 1.0634,                 4.7375,                      0,                0.97091,                 1.4755,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.0862,                 2.1837,                      0,                0.71529,                 1.1283,                0.89427,                0.96491,                0.97012,                0.65661,                0.37647,                0.50844,                0.28144,                0.09657,                 1.1989,                 4.7524,                      0,                0.90302,                 1.6441,               0.001901,               0.001901,               0.001901
                      8,                 1.0163,                 2.1074,                      0,                0.65736,                   1.11,                0.87855,                0.89474,                 0.8921,                0.46963,                0.28394,                0.46614,                0.20843,                0.05093,                 1.6217,                 5.1556,                      0,                0.97955,                 2.0524,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.0363,                 1.9771,                      0,                0.65423,                 1.1116,                0.99463,                0.98246,                 0.9945,                0.76286,                0.44398,                 0.4386,                0.20264,                0.06368,                0.96282,                 4.6196,                      0,                0.71342,                 1.2008,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.0205,                 1.7932,                      0,                0.66101,                 1.0983,                0.96306,                0.94737,                0.98881,                0.72374,                0.75839,                0.77193,                0.71198,                 0.2289,                0.98148,                 4.1759,                      0,                 0.7026,                  1.378,              0.0018416,              0.0018416,              0.0018416
