                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4064,                 7.1981,                      0,                  2.159,                 2.2041,                0.96845,                0.94456,                0.97514,                0.58727,                      0,                      0,                      0,                      0,                 1.5038,                 6.1949,                      0,                 1.3683,                 2.1913,                0.00036,                0.00036,                0.00036
                      2,                 1.4165,                  5.728,                      0,                0.97626,                  1.326,                0.93809,                0.93247,                0.96992,                0.38514,                 0.1156,                0.09231,                0.04726,                0.00493,                 2.0452,                 5.7529,                      0,                 1.2073,                 1.9578,             0.00073267,             0.00073267,             0.00073267
                      3,                 1.3299,                 5.0147,                      0,                0.87171,                 1.2682,                0.94619,                0.94689,                0.96126,                0.69981,                0.67131,                0.68462,                0.63803,                0.07978,                 1.3411,                  5.314,                      0,                 1.0859,                 1.7792,              0.0010978,              0.0010978,              0.0010978
                      4,                 1.2806,                 4.2681,                      0,                0.85859,                 1.2516,                0.94059,                0.97436,                0.96519,                0.65642,                0.18925,                0.18462,                0.05247,                0.00536,                 1.6565,                 5.5113,                      0,                 1.5006,                 1.8515,              0.0014555,              0.0014555,              0.0014555
                      5,                 1.1466,                   3.79,                      0,                0.78643,                 1.1661,                0.99486,                0.97692,                0.98518,                0.67351,                0.80852,                0.79231,                0.69199,                0.11124,                 1.1908,                 4.9628,                      0,                 1.3544,                  1.451,              0.0018056,              0.0018056,              0.0018056
                      6,                 1.1561,                 3.7036,                      0,                0.74169,                 1.1624,                0.94427,                0.91234,                0.95582,                0.59766,                0.82573,                0.66923,                0.67314,                0.11895,                 1.2439,                 5.2308,                      0,                 1.5913,                 1.9131,               0.001901,               0.001901,               0.001901
                      7,                  1.134,                 3.3852,                      0,                0.75698,                 1.1801,                0.98172,                0.97692,                0.98478,                 0.6619,                0.70335,                    0.7,                0.53681,                 0.0727,                 1.3826,                 4.6426,                      0,                 1.0868,                 1.7791,               0.001901,               0.001901,               0.001901
                      8,                 1.0238,                 3.0205,                      0,                0.67366,                 1.1026,                 0.9897,                0.96154,                0.97511,                0.72358,                0.96569,                0.93846,                0.94592,                0.26348,                 1.4204,                 4.4467,                      0,                0.96482,                 1.6045,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.0555,                 2.8765,                      0,                0.67882,                 1.1101,                      1,                0.97596,                0.98597,                0.61101,                 0.9606,                 0.9376,                 0.9173,                0.22487,                 1.4618,                 4.5123,                      0,                 0.7443,                 1.4767,              0.0018614,              0.0018614,              0.0018614
                     10,                  1.028,                   2.66,                      0,                0.67706,                 1.1017,                      1,                0.99089,                  0.995,                0.69649,                      1,                0.98378,                 0.9858,                0.34158,                 1.3783,                 3.9008,                      0,                0.71059,                 1.5376,              0.0018416,              0.0018416,              0.0018416
                     11,                 0.9967,                 2.5846,                      0,                0.66551,                  1.094,                0.99216,                0.97387,                0.98499,                0.74349,                0.96865,                0.95079,                0.95279,                0.33619,                 1.0359,                  3.966,                      0,                0.75962,                  1.313,              0.0018218,              0.0018218,              0.0018218
                     12,                0.98336,                 2.3445,                      0,                 0.6441,                 1.0914,                0.97669,                0.96706,                0.98528,                0.68704,                0.93794,                0.92999,                0.94474,                0.24753,                 1.3325,                 4.0196,                      0,                0.68625,                 1.5666,               0.001802,               0.001802,               0.001802
                     13,                0.97094,                 2.3098,                      0,                0.63552,                 1.0711,                      1,                0.99938,                  0.995,                0.73813,                0.98316,                0.96154,                0.95875,                0.27571,                 1.0606,                 3.7354,                      0,                0.55597,                 1.3418,              0.0017822,              0.0017822,              0.0017822
                     14,                   1.01,                 2.2361,                      0,                 0.6041,                 1.0756,                0.99219,                0.97701,                 0.9947,                0.75992,                0.99769,                0.96154,                0.99424,                0.45941,                0.93075,                 3.6163,                      0,                0.55287,                 1.1547,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.0027,                 2.0058,                      0,                0.62777,                   1.06,                0.98553,                0.97692,                0.98504,                0.73713,                0.98591,                0.96923,                 0.9757,                0.45646,                 1.0611,                 3.6257,                      0,                0.72016,                 1.4584,              0.0017426,              0.0017426,              0.0017426
                     16,                0.94126,                 2.0134,                      0,                0.62667,                 1.0816,                0.99945,                0.99231,                  0.995,                 0.7916,                0.99742,                0.97692,                0.97825,                0.26121,                0.87168,                 3.6608,                      0,                0.57369,                 1.1378,              0.0017228,              0.0017228,              0.0017228
                     17,                0.90502,                 1.8448,                      0,                0.60867,                 1.0542,                0.99912,                0.99231,                  0.995,                 0.7829,                0.96649,                0.94615,                0.94786,                 0.2432,                0.94845,                 3.7997,                      0,                0.50955,                 1.3175,               0.001703,               0.001703,               0.001703
                     18,                0.87676,                 1.7803,                      0,                0.57163,                  1.042,                      1,                0.98332,                0.99477,                0.75562,                0.99874,                0.97692,                0.97759,                0.35414,                0.95808,                 3.4356,                      0,                 0.5018,                 1.1952,              0.0016832,              0.0016832,              0.0016832
                     19,                0.86375,                 1.6797,                      0,                0.55776,                 1.0514,                      1,                0.97494,                0.99153,                0.79643,                0.96055,                0.93648,                0.96382,                0.33548,                 0.9671,                 3.7162,                      0,                0.57428,                 1.2392,              0.0016634,              0.0016634,              0.0016634
                     20,                0.85964,                 1.6947,                      0,                0.54672,                 1.0262,                0.99913,                0.97692,                0.99477,                0.79124,                0.99125,                0.96923,                0.98519,                0.27659,                0.98692,                 3.6698,                      0,                0.55509,                 1.2393,              0.0016436,              0.0016436,              0.0016436
